Facility Name,Ownership Group,Ownership / Brand Name,County,Street Address,City,State,ZIP Code,Latitude,Longitude,Phone Number,Email Address,Website URL,Estimated Unit Count,Estimated Size / Footprint,Facility Type Tags,Lead Tier,Lead Score,Notes
Sunbelt Self Storage,Independent,Sunbelt Self Storage,Tarrant,,Fort Worth,TX,,32.8626822,-97.2906177,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,,East Kenwood Street,Siloam Springs,AR,72761,36.1738982,-94.5307446,,,,,,self-storage,C,15,No website found
Snap Box Self Storage,Independent,Snap Box Self Storage,,North 24th Street,Rogers,AR,72756,36.3355044,-94.1528761,,,,,,self-storage,C,15,No website found
Storage World,Independent,Storage World,,Slack Street,Pea Ridge,AR,72751,36.4427248,-94.1316754,,,,,,self-storage,C,15,No website found
Global Storage,Independent,Global Storage,,,,TX,,35.1160008,-106.506233,,,,,,self-storage,C,15,No website found
CubeSmart,Chain,CubeSmart,,,,TX,,35.058735,-106.615767,,,,,,self-storage,C,0,No website found; Chain-managed
Sentinel Self Storage,Independent,Sentinel Self Storage,,,,TX,,35.1329814,-106.60736,505-883-0888,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Harris,,,TX,,29.743557,-95.45643,,,,,,self-storage,C,0,No website found; Chain-managed
Grant's Storage,Independent,Grant's Storage,Coryell,,,TX,,31.444931,-97.713634,,,,,,self-storage,C,15,No website found
Continental Self Storage,Independent,Continental Self Storage,,,,TX,,32.849139,-106.022313,,,,,,self-storage,C,15,No website found
A-1 Self Storage,Chain,A-1 Self Storage,,Hotel Circle Northeast,Albuquerque,TX,87123,35.0817311,-106.526803,505-271-2844,,http://a1selfstorage.biz/,,,self-storage,C,5,Chain-managed
Allum Boat & RV Storage,Independent,Allum Boat & RV Storage,Harris,Allum Road,Houston,TX,77045,29.641303,-95.4538762,713-936-3158,,,,,self-storage,C,40,
Move It Self Storage Bay Area,Independent,Move It Self Storage Bay Area,Nueces,Rodd Field Road,Corpus Christi,TX,78414,27.6804166,-97.3501739,361-792-3440,,https://www.moveitstorage.com/view-rates/texas/corpus-christi/78414/035120,,,self-storage,B,55,
Frontier Self Storage Center Inc.,Independent,Frontier Self Storage Center Inc.,Wilson,US 87,Adkins,TX,78101,29.3583992,-98.1873779,210-585-3330,,http://www.frontierstorage.com,,,self-storage,B,55,
A-A-A Storage,Independent,A-A-A Storage,Bell,,,TX,,31.075116,-97.653193,,,,,,self-storage,C,15,No website found
Security Self Storage,Independent,Security Self Storage,,,,TX,,33.379483,-104.5342356,575-622-0060,,,,,self-storage,C,40,
Public Storage,Chain,Public Storage,Travis,North MoPac Expressway,Austin,TX,78759,30.4161589,-97.7065593,512-634-8437,,https://www.publicstorage.com/self-storage-tx-austin/655?pid=pslocalsearch,,,self-storage,C,5,Chain-managed
U-Stor-It,Independent,U-Stor-It,,,,TX,,35.0562552,-106.617282,,,,,,self-storage,C,15,No website found
A-1 Self Storage,Chain,A-1 Self Storage,,,,TX,,35.0574463,-106.61642,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,Lavaca,,,TX,,29.429386,-97.1740309,,,,,,self-storage,C,15,No website found
American Mini Storage,Chain,American Mini Storage,Fort Bend,Murphy Road,Missouri City,TX,77459,29.5809244,-95.5649617,,,,,,self-storage,C,0,No website found; Chain-managed
Metro Self Storage,Independent,Metro Self Storage,Montgomery,,,TX,,30.0495393,-95.2470993,,,,,,self-storage,C,15,No website found
Capri Self Storage,Independent,Capri Self Storage,,North Main Street,Altus,OK,73521,34.6691126,-99.3332495,580-482-3129,,http://capriselfstorage.com,,,self-storage,B,55,
ALL-STAR SELF STORAGE,Independent,ALL-STAR SELF STORAGE,Burnet,U.S. 281,Marble Falls,TX,,30.5259051,-98.2856587,,,,,,self-storage,C,15,No website found
Jay's Self Storage,Independent,Jay's Self Storage,Tarrant,,,TX,,32.7602158,-97.4554387,,,,,,self-storage,C,15,No website found
Life Storage,Chain,Life Storage,Harris,Bayport Boulevard,Seabrook,TX,77586,29.582407,-95.0281981,,,,,,self-storage,C,0,No website found; Chain-managed
Devon Self Storage,Independent,Devon Self Storage,Harris,Bayport Boulevard,Seabrook,TX,77586,29.5790454,-95.0257746,281-942-0106,,https://www.devonselfstorage.com/,,,self-storage,B,55,
Benbrook Secure Storage,Independent,Benbrook Secure Storage,,Main Avenue,Woodward,OK,73801,36.4356011,-99.3908361,580-256-4660,,https://www.benbrookstorage.com/,,,self-storage,B,55,
SurePoint Self Storage,Independent,SurePoint Self Storage,Bexar,,,TX,,29.4884139,-98.443431,,,,,,self-storage,C,15,No website found
USA Self Storage,Independent,USA Self Storage,Harris,,,TX,,29.6811028,-95.122933,,,,,,self-storage,C,15,No website found
Storage Rental Units,Independent,Storage Rental Units,Cochran,Northwest 3rd Street,Morton,TX,79346,33.7269428,-102.7625078,,,,,,self-storage,C,15,No website found
E&J Storage,Independent,E&J Storage,,,Pecos,NM,87552,35.5728846,-105.6876477,,,,,,self-storage,C,15,No website found
Storage Depot,Independent,Storage Depot,Denton,South Loop 288,Denton,TX,,33.19831,-97.0906798,,,,,,self-storage,C,15,No website found
Unicorn Moving,Independent,Unicorn Moving,Travis,Victor Street,Austin,TX,78753,30.3771705,-97.6820636,512-339-9922,,https://www.unicornmoving.com/,,,self-storage,B,55,
Affordable Boat & RV Storage,Independent,Affordable Boat & RV Storage,Harris,,,TX,,29.8795053,-95.7016127,,,,,,self-storage,C,15,No website found
Lone Star Storage Center,Independent,Lone Star Storage Center,Harris,,,TX,,29.8792341,-95.7342066,,,,,,self-storage,C,15,No website found
Safe-Keeping Self Storage,Independent,Safe-Keeping Self Storage,Harris,,,TX,,29.8750158,-95.6440306,,,,,,self-storage,C,15,No website found
Uncle Bob's Self Storage,Chain,Uncle Bob's Self Storage,Harris,,,TX,,29.8855697,-95.6829911,,,,,,self-storage,C,0,No website found; Chain-managed
Frontier Self Storage - Floresville,Independent,Frontier Self Storage - Floresville,Wilson,US Highway 181,Floresville,TX,78114,29.208916,-98.2219036,,,,,,self-storage,C,15,No website found
1488 Boat & RV Storage,Independent,1488 Boat & RV Storage,Montgomery,FM 1488,Conroe,TX,77384,30.2262548,-95.5330833,,,,,,self-storage,C,15,No website found
Jerry's Storage,Independent,Jerry's Storage,Kaufman,E Highway 175,Kemp,TX,75143,32.400563,-96.1658602,903-498-7368,,http://jerrysstorage175.com,,,self-storage,B,55,
Cane Island Storage,Independent,Cane Island Storage,Waller,US-90,Katy,TX,77494,29.78673,-95.8556838,281-574-4777,,http://www.caneislandstorage.com,,,self-storage,B,55,
Butterfly Springs Storage,Independent,Pueblo of Pojoaque,,,,TX,,35.8784803,-106.0111478,,,,,,self-storage,C,15,No website found
All Storage,Independent,All Storage,Collin,Talbert Drive,Plano,TX,75093,33.0074725,-96.7790246,972-905-9854,,https://www.allstorageonline.com/,,,self-storage,B,55,
Paul's Stor-Galor Mini-Warehouses,Independent,Paul's Stor-Galor Mini-Warehouses,Galveston,45th Street,Galveston,TX,77550,29.2819621,-94.8130861,409-762-2345,,http://paulsstor-galor.com,,,self-storage,B,55,
Legion Road Mini Storage,Chain,Legion Road Mini Storage,Montgomery,Legion Road,New Caney,TX,77357,30.1395138,-95.229696,281-354-1259,,,,,self-storage,C,0,Chain-managed
Kwik-Lock Storage,Independent,Kwik-Lock Storage,,South Main Street,Newcastle,OK,73065,35.2412029,-97.5996226,,,,,,self-storage,C,15,No website found
Country Club Storage,Independent,Country Club Storage,Collin,Southview Dr,Wylie,TX,75098,33.0555326,-96.5677742,972-461-9600,,https://www.countryclubstorage.net/,,,self-storage,B,55,
U-Store-It,Independent,U-Store-It,Taylor,,,TX,,32.4165091,-99.7807838,,,,,,self-storage,C,15,No website found
A & D RV & Boat Storage,Independent,A & D RV & Boat Storage,,South 33rd Avenue West,Glenpool,OK,74033,35.9838099,-96.0298144,918-224-1851,,https://www.adrvboatstorage.com/,,,RV/boat,B,55,
Alamo Relocation & Storage,Independent,Alamo Relocation & Storage,Bexar,East Houston Street,San Antonio,TX,78205,29.4253527,-98.4801078,210-226-4223,,http://alamorelocationstorage.com,,,self-storage,B,55,
Park Place 4 RV's,Independent,Park Place 4 RV's,Comal,FM 306,New Braunfels,TX,78132,29.8500325,-98.1213457,830-964-3065,,https://www.parkplace4rvs.net/,,,self-storage,B,55,
Safekeeping Self Storage,Independent,Safekeeping Self Storage,Harris,West Parker Road,Houston,TX,,29.8597949,-95.4045431,,,,,,self-storage,C,15,No website found
Calloway Road Storage Center,Independent,Calloway Road Storage Center,Smith,Calloway Road,Tyler,TX,75707,32.3063353,-95.2646994,,,,,,self-storage,C,15,No website found
Almond Street Cold Storage,Independent,Almond Street Cold Storage,Taylor,Almond Street,Abilene,TX,79601,32.4582669,-99.7213846,325-673-4801,,http://www.almondst.com/,,,self-storage,B,55,
SecurCare Self Storage,Independent,SecurCare Self Storage,,East 7th Street South,Tulsa,OK,74120,36.1512929,-95.9836697,,,,,,self-storage,C,15,No website found
Kennidy RV & Boat Storage,Independent,Dust Kennidy,Tarrant,South Main Street,Mansfield,TX,,32.5529551,-97.1356765,,,,,,self-storage,C,15,No website found
South Post Oak Self Storage,Independent,South Post Oak Self Storage,Harris,South Post Oak Road,Houston,TX,77045,29.6181006,-95.4647675,,,,,,self-storage,C,15,No website found
St. Michael's Self Storage,Independent,St. Michael's Self Storage,,,,TX,,35.6560267,-105.9709624,,,,,,self-storage,C,15,No website found
A1,Independent,A1,,,,TX,,35.6626569,-105.9740977,,,,,,self-storage,C,15,No website found
Santa Fe Self Storage,Independent,Santa Fe Self Storage,,3rd Street,,TX,,35.6651429,-105.9695794,,,,,,self-storage,C,15,No website found
Self Storage,Independent,Self Storage,,West San Mateo Road,Santa Fe,NM,87505,35.6636491,-105.9629514,,,,,,self-storage,C,15,No website found
The Stor,Independent,The Stor,,,,TX,,33.6401437,-105.8782588,575-430-8960,,,,,self-storage,C,40,
A-1 Self Storage,Chain,A-1 Self Storage,,South Pacheco Street,,TX,,35.6621065,-105.959325,,,,,,self-storage,C,0,No website found; Chain-managed
Self Storage,Independent,Self Storage,,6th Street,,TX,,35.6637184,-105.9725641,,,,,,self-storage,C,15,No website found
AA Storage,Independent,AA Storage,Dallas,,,TX,,32.6334151,-96.9443537,,,,,,self-storage,C,15,No website found
Bear Branch Boat & RV Storage,Independent,Bear Branch Boat & RV Storage,Montgomery,,,TX,,30.2188653,-95.561863,,,,,,self-storage,C,15,No website found
Vision Private Storage,Independent,Vision Private Storage,Montgomery,,,TX,,30.2073334,-95.5767655,,,,,,self-storage,C,15,No website found
Extra Space Storage,Chain,Extra Space Storage,Harris,,,TX,,29.6897258,-95.562235,,,,,,self-storage,C,0,No website found; Chain-managed
Storage @ Coldspring,Independent,Storage @ Coldspring,San Jacinto,State Highway 150,Coldspring,TX,77331,30.5765682,-95.1386627,,,https://www.storageatcoldspring.com/,,,self-storage,C,40,
Life Storage,Chain,Life Storage,Bexar,Broadway,San Antonio,TX,78215,29.4476764,-98.4742929,,,,,,self-storage,C,0,No website found; Chain-managed
Eagle Self Storage,Independent,Eagle Self Storage,Tarrant,Rivertree Boulevard,Fort Worth,TX,76109,32.7115303,-97.387273,817-926-1222,,https://eagleselfstorage.com/storage-in-fort-worth-tx-considerations/,,,self-storage,B,55,
Around The Corner Self Storage 125 & 599,Independent,Around The Corner Self Storage 125 & 599,,Erica Road,Santa Fe,NM,87507,35.5913282,-106.068392,505-393-3463,,https://www.aroundthecornerselfstorage.com/self-storage-santa-fe-nm-f8437,,,self-storage,B,55,
U-Haul,Chain,U-Haul,Harris,,,TX,,29.8131664,-95.3798947,,,,,,self-storage,C,0,No website found; Chain-managed
Caney Creek Self-Storage,Independent,Caney Creek Self-Storage,Montgomery,Highway 59 South,New Caney,TX,77357,30.179668,-95.2002652,281-602-3459,,,,,self-storage,C,40,
